ngram,occ
independent_evaluation,5407.0
highly_dependent,5399.0
play_important,5391.0
independent_auditor,5385.0
pension_fund,5383.0
climatic_condition,5376.0
basis_inter_foregoing,5374.0
reference_bid_evaluation,5370.0
primary_secondary_school,5364.0
small_medium_scale,5363.0
table_paragraph_schedule,5363.0
rating_political,5362.0
post_open,5361.0
discuss_earlier,5358.0
routine_maintenance,5356.0
tor_term_reference,5353.0
moderately_satisfactory_overall,5351.0
replacement_cost,5350.0
laboratory_equipment,5347.0
single_stage_pend,5343.0
subsidiary_loan_agreement,5336.0
advisory_committee,5330.0
hardware_software,5327.0
water_treatment_plant,5325.0
current_rating,5319.0
fully_consistent,5314.0
young_child,5304.0
additional_event_specify,5303.0
second_round,5303.0
currency_dollar,5300.0
student_teacher,5299.0
shall_furnish_bank,5295.0
greenhouse_gas,5295.0
citizen_engagement,5292.0
eligible_expenditure_mean,5290.0
conceptual_framework,5288.0
paved_road,5287.0
new_entrant,5286.0
involuntary_resettlement_indigenous_people,5284.0
rich_poor,5282.0
presidential_decree,5279.0
medical_care,5278.0
land_degradation,5264.0
soil_conservation,5261.0
error_omission,5255.0
flora_fauna,5254.0
purchasing_power,5252.0
pose_challenge,5250.0
quite_different,5245.0
great_attention,5245.0
create_job,5244.0
net_profit,5241.0
end_target,5240.0
social_cohesion,5238.0
fuel_oil,5238.0
foreign_bidder,5231.0
stress_importance,5231.0
conditional_cash_transfer,5226.0
mar_jun,5223.0
environmentally_sustainable,5219.0
maternal_child_health,5217.0
manner_protect,5216.0
political_pressure,5216.0
greatly_reduce,5213.0
finance_corporation,5211.0
current_liability,5208.0
regulatory_body,5208.0
hand_hand,5206.0
follow_meaning,5199.0
emergency_situation,5199.0
legislative_framework,5198.0
broad_money,5198.0
bank_shall_reasonably,5196.0
soviet_union,5195.0
willingness_pay,5186.0
chamber_commerce,5183.0
greenhouse_gas_emission,5178.0
infra_structure,5178.0
secondary_tertiary,5178.0
private_sector_civil_society,5175.0
public_servant,5172.0
densely_populated,5171.0
tax_exemption,5171.0
stakeholder_engagement,5170.0
